xsurvey,essential5_offer,essential5_curav,essential5_noso,essential5_ready,essential5_rnoso,nSDP,nSDPpub,nSDPprivate,year,month,cmc,country,countrycode,round
INRajasthanR1,4.7619047,4.7619047,2.3809524,4.4217687,2.3809524,294,248,46,2016,7,1399,"India, Rajasthan",IN,1
INRajasthanR2,3.1719532,3.0050085,2.1702838,2.8380635,2.0033388,599,248,351,2017,3,1407,"India, Rajasthan",IN,2
INRajasthanR3,6.5108514,6.5108514,4.8414021,6.5108514,4.8414021,599,251,348,2017,9,1413,"India, Rajasthan",IN,3
INRajasthanR4,11.348684,10.690789,8.8815784,10.690789,8.8815784,608,248,360,2018,6,1422,"India, Rajasthan",IN,4
