xsurvey,HHQFQur,num_SDPall,num_SDPpub,num_SDPpub12,num_SDPlow,noSDPany,noSDPpub,noSDPpub12,noSDPlow,min_num_SDPall,min_num_SDPpub,min_num_SDPpub12,min_num_SDPlow,max_num_SDPall,max_num_SDPpub,max_num_SDPpub12,max_num_SDPlow,nEASDP,nSDP,nSDPpub,nSDPprivate,nEA,country,round
CDKongoCentralR4,2. rural,2.307692307692307,.9807692307692307,.6923076923076923,1.346153846153846,5.7692308,26.923079,32.692307,9.6153851,0,0,0,0,5,3,2,5,120,120,51,69,52,CDKongoCentral,4
CDKongoCentralR4,,2.307692307692307,.9807692307692307,.6923076923076923,1.346153846153846,5.7692308,26.923079,32.692307,9.6153851,0,0,0,0,5,3,2,5,120,120,51,69,52,CDKongoCentral,4
CDKongoCentralR5,2. rural,1.961538461538461,1.057692307692308,.7692307692307693,1.192307692307692,5.7692308,21.153847,30.769232,13.461539,0,0,0,0,5,3,2,3,102,102,55,47,52,CDKongoCentral,5
CDKongoCentralR5,,1.961538461538461,1.057692307692308,.7692307692307693,1.192307692307692,5.7692308,21.153847,30.769232,13.461539,0,0,0,0,5,3,2,3,102,102,55,47,52,CDKongoCentral,5
CDKongoCentralR6,2. rural,2.192307692307693,1.057692307692308,.8269230769230769,1.230769230769231,3.846154,19.23077,23.076923,9.6153851,0,0,0,0,5,3,2,3,114,115,55,60,52,CDKongoCentral,6
CDKongoCentralR6,,2.169811320754717,1.037735849056604,.8113207547169812,1.226415094339623,3.7735848,20.754717,24.528303,9.4339628,0,0,0,0,5,3,2,3,115,115,55,60,52,CDKongoCentral,6
CDKongoCentralR7,2. rural,2.384615384615385,1.230769230769231,.9423076923076923,1.461538461538461,3.846154,11.538462,17.307693,9.6153851,0,0,0,0,7,5,4,4,124,124,64,60,52,CDKongoCentral,7
CDKongoCentralR7,,2.384615384615385,1.230769230769231,.9423076923076923,1.461538461538461,3.846154,11.538462,17.307693,9.6153851,0,0,0,0,7,5,4,4,124,124,64,60,52,CDKongoCentral,7
CIR1,1. urban,2.181818181818182,1.704545454545455,.7954545454545454,1.159090909090909,0,6.818182,22.727274,6.818182,1,0,0,0,4,3,2,3,96,140,106,34,44,CI,1
CIR1,2. rural,2.482758620689655,2.03448275862069,.9310344827586207,1.137931034482759,3.4482758,3.4482758,13.793103,6.8965516,0,0,0,0,5,4,2,3,72,140,106,34,29,CI,1
CIR1,,2.301369863013699,1.835616438356164,.8493150684931506,1.150684931506849,1.369863,5.4794521,19.178082,6.8493152,0,0,0,0,5,4,2,3,168,140,106,34,73,CI,1
CIR2,1. urban,2.25,1.954545454545455,.9318181818181818,1.159090909090909,0,2.2727273,6.818182,0,1,0,0,1,4,3,1,3,99,135,116,19,44,CI,2
CIR2,2. rural,2.310344827586207,2.103448275862069,.896551724137931,1.03448275862069,3.4482758,3.4482758,10.344828,6.8965516,0,0,0,0,5,3,1,3,67,135,116,19,29,CI,2
CIR2,,2.273972602739726,2.013698630136986,.9178082191780822,1.10958904109589,1.369863,2.7397261,8.2191782,2.7397261,0,0,0,0,5,3,1,3,166,135,116,19,73,CI,2
ETR2,1. urban,2.16504854368932,1.650485436893204,.9902912621359223,1.262135922330097,.97087377,4.8543687,7.7669902,4.8543687,0,0,0,0,6,3,2,4,223,398,342,56,103,ET,2
ETR2,2. rural,2.402061855670103,2.350515463917526,1.742268041237113,1.783505154639175,1.0309278,1.0309278,1.0309278,1.0309278,0,0,0,0,5,3,2,4,233,398,342,56,97,ET,2
ETR2,,2.28,1.99,1.355,1.515,1,3,4.5,3,0,0,0,0,6,3,2,4,456,398,342,56,200,ET,2
ETR3,1. urban,2.137614678899082,1.651376146788991,1.018348623853211,1.284403669724771,.91743118,3.6697247,5.5045872,3.6697247,0,0,0,0,6,3,2,5,233,444,385,59,109,ET,3
ETR3,2. rural,2.383928571428572,2.330357142857143,1.732142857142857,1.776785714285714,0,0,2.6785715,2.6785715,1,1,0,0,5,4,3,4,267,444,385,59,112,ET,3
ETR3,,2.262443438914027,1.995475113122172,1.380090497737557,1.533936651583711,.45248872,1.8099549,4.0723982,3.1674211,0,0,0,0,6,4,3,5,500,444,385,59,221,ET,3
ETR4,1. urban,2.220183486238532,1.688073394495413,1,1.302752293577982,1.8348624,3.6697247,8.2568808,5.5045872,0,0,0,0,6,3,2,5,242,456,395,61,109,ET,4
ETR4,2. rural,2.357142857142857,2.3125,1.741071428571429,1.776785714285714,0,0,0,0,1,1,1,1,5,4,3,4,264,456,395,61,112,ET,4
ETR4,,2.289592760180995,2.004524886877828,1.375565610859729,1.542986425339367,.90497744,1.8099549,4.0723982,2.7149322,0,0,0,0,6,4,3,5,506,456,395,61,221,ET,4
ETR5,1. urban,2.08256880733945,1.688073394495413,1.027522935779817,1.211009174311927,1.8348624,2.7522936,9.1743116,8.2568808,0,0,0,0,6,4,3,4,227,442,393,49,109,ET,5
ETR5,2. rural,2.348214285714286,2.294642857142857,1.660714285714286,1.696428571428571,.89285719,.89285719,4.4642859,4.4642859,0,0,0,0,4,4,3,3,263,442,393,49,112,ET,5
ETR5,,2.217194570135747,1.995475113122172,1.34841628959276,1.457013574660633,1.3574661,1.8099549,6.7873306,6.3348422,0,0,0,0,6,4,3,4,490,442,393,49,221,ET,5
ETR6,1. urban,2.192660550458716,1.761467889908257,1.045871559633027,1.229357798165138,1.8348624,2.7522936,10.091743,9.1743116,0,0,0,0,6,4,3,4,239,465,413,52,109,ET,6
ETR6,2. rural,2.401785714285714,2.357142857142857,1.678571428571429,1.714285714285714,.89285719,.89285719,1.7857144,1.7857144,0,0,0,0,4,4,3,3,269,465,413,52,112,ET,6
ETR6,,2.269911504424779,2.039823008849558,1.349557522123894,1.45575221238938,1.3274336,1.7699115,6.6371679,6.1946902,0,0,0,0,6,4,3,4,513,465,413,52,221,ET,6
INRajasthanR1,1. urban,2.378378378378379,1.972972972972973,.8648648648648649,.9459459459459459,0,0,24.324326,24.324326,1,1,0,0,6,5,4,4,88,294,248,46,37,INRajasthan,1
INRajasthanR1,2. rural,2.909090909090909,2.627272727272727,1.663636363636364,1.754545454545455,0,0,1.8181818,1.8181818,1,1,0,0,5,4,3,4,320,294,248,46,110,INRajasthan,1
INRajasthanR1,,2.775510204081633,2.462585034013606,1.462585034013606,1.551020408163265,0,0,7.4829926,7.4829926,1,1,0,0,6,5,4,4,408,294,248,46,147,INRajasthan,1
INRajasthanR2,1. urban,5.810810810810811,1.972972972972973,.918918918918919,1.756756756756757,0,0,21.621622,16.216215,1,1,0,0,14,4,3,6,215,599,248,351,37,INRajasthan,2
INRajasthanR2,2. rural,4.518181818181819,2.581818181818182,1.745454545454545,2.309090909090909,0,0,1.8181818,.90909088,1,1,0,0,13,4,3,8,497,599,248,351,110,INRajasthan,2
INRajasthanR2,,4.843537414965986,2.428571428571428,1.537414965986394,2.170068027210884,0,0,6.8027215,4.7619047,1,1,0,0,14,4,3,8,712,599,248,351,147,INRajasthan,2
INRajasthanR3,1. urban,5.351351351351352,1.972972972972973,1.081081081081081,1.864864864864865,0,0,24.324326,18.918919,1,1,0,0,13,5,4,6,198,599,251,348,37,INRajasthan,3
INRajasthanR3,2. rural,4.654545454545454,2.627272727272727,1.754545454545455,2.372727272727273,0,0,.90909088,0,1,1,0,1,13,5,3,9,512,599,251,348,110,INRajasthan,3
INRajasthanR3,,4.829931972789115,2.462585034013606,1.585034013605442,2.244897959183673,0,0,6.8027215,4.7619047,1,1,0,0,13,5,4,9,710,599,251,348,147,INRajasthan,3
INRajasthanR4,1. urban,5.405405405405405,1.864864864864865,.9459459459459459,1.567567567567568,0,5.4054055,16.216215,10.810811,1,0,0,0,13,3,3,6,200,608,248,360,37,INRajasthan,4
INRajasthanR4,2. rural,4.654545454545454,2.572727272727273,1.754545454545455,2.563636363636363,0,0,.90909088,.90909088,1,1,0,0,14,5,3,9,512,608,248,360,110,INRajasthan,4
INRajasthanR4,,4.843537414965986,2.394557823129252,1.551020408163265,2.312925170068027,0,1.3605442,4.7619047,3.4013608,1,0,0,0,14,5,3,9,712,608,248,360,147,INRajasthan,4
KER2,1. urban,3.84,3.14,1.54,1.78,2,2,20,18,0,0,0,0,10,9,6,6,192,324,264,60,50,KE,2
KER2,2. rural,3.914285714285714,3.557142857142857,1.971428571428572,2.128571428571429,0,0,8.5714293,5.7142859,1,1,0,0,8,8,6,7,274,324,264,60,70,KE,2
KER2,,3.883333333333333,3.383333333333333,1.791666666666667,1.983333333333333,.83333337,.83333337,13.333334,10.833333,0,0,0,0,10,9,6,7,466,324,264,60,120,KE,2
KER3,1. urban,4.12,3.16,1.48,1.9,2,2,22,16,0,0,0,0,9,8,5,5,206,348,266,82,50,KE,3
KER3,2. rural,4.057142857142857,3.571428571428572,1.971428571428572,2.171428571428571,0,0,7.1428576,5.7142859,1,1,0,0,8,8,6,7,284,348,266,82,70,KE,3
KER3,,4.083333333333333,3.4,1.766666666666667,2.058333333333333,.83333337,.83333337,13.333334,10,0,0,0,0,9,8,6,7,490,348,266,82,120,KE,3
KER4,1. urban,3.98,3.22,1.54,1.8,0,2,18,14,1,0,0,0,9,8,5,5,199,338,270,68,50,KE,4
KER4,2. rural,4.014285714285714,3.585714285714286,1.957142857142857,2.142857142857143,0,0,7.1428576,5.7142859,1,1,0,0,8,8,6,7,281,338,270,68,70,KE,4
KER4,,4,3.433333333333333,1.783333333333333,2,0,.83333337,11.666667,9.166667,1,0,0,0,9,8,6,7,480,338,270,68,120,KE,4
KER5,1. urban,3.344827586206896,2.603448275862069,1.413793103448276,1.620689655172414,1.7241379,1.7241379,22.413794,17.241379,0,0,0,0,10,10,6,6,194,410,339,71,58,KE,5
KER5,2. rural,3.731182795698925,3.43010752688172,2,2.118279569892473,2.1505377,3.2258062,12.903225,11.827957,0,0,0,0,9,8,6,8,347,410,339,71,93,KE,5
KER5,,3.582781456953642,3.112582781456954,1.774834437086093,1.927152317880795,1.986755,2.6490066,16.556292,13.907285,0,0,0,0,10,10,6,8,541,410,339,71,151,KE,5
KER6,1. urban,3.293103448275862,2.706896551724138,1.413793103448276,1.53448275862069,1.7241379,5.1724138,22.413794,17.241379,0,0,0,0,8,8,6,6,191,416,352,64,58,KE,6
KER6,2. rural,3.913978494623656,3.591397849462366,2.182795698924731,2.258064516129032,1.0752689,1.0752689,9.6774187,8.6021509,0,0,0,0,9,8,6,7,364,416,352,64,93,KE,6
KER6,,3.675496688741722,3.251655629139073,1.887417218543046,1.980132450331126,1.3245033,2.6490066,14.569536,11.920529,0,0,0,0,9,8,6,7,555,416,352,64,151,KE,6
KER7,1. urban,3.310344827586207,2.637931034482758,1.413793103448276,1.603448275862069,1.7241379,3.4482758,24.13793,20.689655,0,0,0,0,8,8,6,6,192,419,353,66,58,KE,7
KER7,2. rural,3.967741935483871,3.602150537634409,2.204301075268817,2.290322580645161,0,0,8.6021509,8.6021509,1,1,0,0,8,8,7,7,369,419,353,66,93,KE,7
KER7,,3.71523178807947,3.231788079470199,1.900662251655629,2.026490066225166,.66225165,1.3245033,14.569536,13.245032,0,0,0,0,8,8,7,7,561,419,353,66,151,KE,7
NENiameyR1,1. urban,5.129032258064516,4.935483870967742,1.935483870967742,1.967741935483871,0,0,0,0,4,4,1,1,6,6,3,3,159,31,25,6,31,NENiamey,1
NENiameyR1,2. rural,5,5,2,2,0,0,0,0,5,5,2,2,5,5,2,2,10,31,25,6,2,NENiamey,1
NENiameyR1,,5.121212121212121,4.939393939393939,1.939393939393939,1.96969696969697,0,0,0,0,4,4,1,1,6,6,3,3,169,31,25,6,33,NENiamey,1
NENiameyR2,1. urban,4.225806451612903,4.032258064516129,1.967741935483871,2,0,0,0,0,3,3,1,1,5,5,3,3,131,33,27,6,31,NENiamey,2
NENiameyR2,2. rural,4,4,2,2,0,0,0,0,4,4,2,2,4,4,2,2,8,33,27,6,2,NENiamey,2
NENiameyR2,,3.523809523809524,3.380952380952381,1.547619047619048,1.571428571428571,0,0,21.428572,21.428572,1,1,0,0,5,5,3,3,148,33,27,6,33,NENiamey,2
NENiameyR3,1. urban,2.935483870967742,2.774193548387097,1.774193548387097,1.806451612903226,0,0,0,0,2,2,1,1,4,4,3,3,91,27,22,5,31,NENiamey,3
NENiameyR3,2. rural,3,3,2,2,0,0,0,0,3,3,2,2,3,3,2,2,6,27,22,5,2,NENiamey,3
NENiameyR3,,2.939393939393939,2.787878787878788,1.787878787878788,1.818181818181818,0,0,0,0,2,2,1,1,4,4,3,3,97,27,22,5,33,NENiamey,3
NENiameyR4,1. urban,4.193548387096774,3.967741935483871,1.967741935483871,2.032258064516129,0,0,0,0,3,3,1,1,5,5,3,3,130,32,25,7,31,NENiamey,4
NENiameyR4,2. rural,4,4,2,2,0,0,0,0,4,4,2,2,4,4,2,2,8,32,25,7,2,NENiamey,4
NENiameyR4,,3.560975609756098,3.390243902439024,1.585365853658537,1.634146341463415,0,0,19.512194,19.512194,1,1,0,0,5,5,3,3,146,32,25,7,33,NENiamey,4
NENiameyR5,1. urban,.5161290322580645,.1935483870967742,.0967741935483871,.2903225806451613,67.741936,83.870964,90.322578,74.19355,0,0,0,0,3,2,1,2,16,30,18,12,31,NENiamey,5
NENiameyR5,2. rural,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,,30,18,12,2,NENiamey,5
NENiameyR5,,1.046875,.859375,.328125,.453125,35.9375,43.75,68.75,59.375,0,0,0,0,3,3,2,2,67,30,18,12,33,NENiamey,5
NER2,1. urban,3.8,3.64,1.84,1.9,0,0,2,2,1,1,0,0,5,5,4,4,190,129,120,9,50,NE,2
NER2,2. rural,3.393939393939394,3.363636363636364,1.848484848484848,1.878787878787879,0,0,6.060606,6.060606,1,1,0,0,7,7,5,5,112,129,120,9,33,NE,2
NER2,,3.63855421686747,3.530120481927711,1.843373493975904,1.891566265060241,0,0,3.6144576,3.6144576,1,1,0,0,7,7,5,5,302,129,120,9,83,NE,2
NER4,1. urban,3.52,3.32,1.72,1.8,2,2,4,4,0,0,0,0,5,5,3,3,176,127,116,11,50,NE,4
NER4,2. rural,2.727272727272727,2.696969696969697,1.636363636363636,1.636363636363636,0,0,3.030303,3.030303,1,1,0,0,4,4,4,4,90,127,116,11,33,NE,4
NER4,,3.204819277108434,3.072289156626506,1.686746987951807,1.734939759036145,1.2048192,1.2048192,3.6144576,3.6144576,0,0,0,0,5,5,4,4,266,127,116,11,83,NE,4
NGKanoR3,1. urban,.75,.0625,.0625,.125,68.75,93.75,93.75,93.75,0,0,0,0,3,1,1,2,12,44,24,20,16,NGKano,3
NGKanoR3,2. rural,1.65,1.2,.95,.95,15.000001,25,25,25,0,0,0,0,4,3,2,2,33,44,24,20,20,NGKano,3
NGKanoR3,,1.25,.6944444444444444,.5555555555555556,.5833333333333334,38.888889,55.555557,55.555557,55.555557,0,0,0,0,4,3,2,2,45,44,24,20,36,NGKano,3
NGKanoR4,1. urban,2.3125,1.4375,1,1.0625,0,0,12.5,12.5,1,1,0,0,5,3,2,2,37,69,46,23,16,NGKano,4
NGKanoR4,2. rural,2.2,1.75,1.2,1.2,0,0,10,10,1,1,0,0,4,3,3,3,44,69,46,23,20,NGKano,4
NGKanoR4,,2.25,1.611111111111111,1.111111111111111,1.138888888888889,0,0,11.111112,11.111112,1,1,0,0,5,3,3,3,81,69,46,23,36,NGKano,4
NGKanoR5,1. urban,2.5625,1.5625,1.0625,1.0625,0,0,6.25,6.25,1,1,0,0,5,2,2,2,41,70,45,25,16,NGKano,5
NGKanoR5,2. rural,2.05,1.65,1.05,1.05,0,0,20,20,1,1,0,0,4,3,2,2,41,70,45,25,20,NGKano,5
NGKanoR5,,2.243243243243243,1.567567567567568,1.027027027027027,1.027027027027027,0,2.7027028,16.216215,16.216215,1,0,0,0,5,3,2,2,83,70,45,25,36,NGKano,5
NGLagosR2,1. urban,2.519230769230769,1.442307692307692,1.019230769230769,1.076923076923077,1.923077,15.384616,25,23.076923,0,0,0,0,6,4,3,3,131,123,67,56,52,NGLagos,2
NGLagosR2,,2.519230769230769,1.442307692307692,1.019230769230769,1.076923076923077,1.923077,15.384616,25,23.076923,0,0,0,0,6,4,3,3,131,123,67,56,52,NGLagos,2
NGLagosR3,1. urban,2.942307692307693,1.865384615384615,1.057692307692308,1.134615384615385,0,3.846154,13.461539,9.6153851,1,0,0,0,5,3,2,3,153,124,68,56,52,NGLagos,3
NGLagosR3,,2.942307692307693,1.865384615384615,1.057692307692308,1.134615384615385,0,3.846154,13.461539,9.6153851,1,0,0,0,5,3,2,3,153,124,68,56,52,NGLagos,3
NGLagosR4,1. urban,2.788461538461538,1.826923076923077,1.057692307692308,1.115384615384615,1.923077,1.923077,11.538462,11.538462,0,0,0,0,6,3,3,3,145,117,67,50,52,NGLagos,4
NGLagosR4,,2.788461538461538,1.826923076923077,1.057692307692308,1.115384615384615,1.923077,1.923077,11.538462,11.538462,0,0,0,0,6,3,3,3,145,117,67,50,52,NGLagos,4
NGLagosR5,1. urban,2.980769230769231,2.076923076923077,1.115384615384615,1.211538461538461,3.846154,3.846154,13.461539,11.538462,0,0,0,0,6,4,3,3,155,120,73,47,52,NGLagos,5
NGLagosR5,,2.980769230769231,2.076923076923077,1.115384615384615,1.211538461538461,3.846154,3.846154,13.461539,11.538462,0,0,0,0,6,4,3,3,155,120,73,47,52,NGLagos,5
UGR2,1. urban,4.193548387096774,2.612903225806452,1.419354838709677,2.225806451612903,0,0,9.6774187,0,2,1,0,1,7,4,2,4,130,360,231,129,31,UG,2
UGR2,2. rural,4.240506329113924,3.215189873417721,1.493670886075949,1.734177215189873,0,0,5.0632911,5.0632911,1,1,0,0,8,5,2,5,335,360,231,129,79,UG,2
UGR2,,4.227272727272728,3.045454545454545,1.472727272727273,1.872727272727273,0,0,6.363636,3.6363635,1,1,0,0,8,5,2,5,465,360,231,129,110,UG,2
UGR3,1. urban,4.225806451612903,2.612903225806452,1.419354838709677,2.258064516129032,0,0,9.6774187,0,2,1,0,1,7,4,2,4,131,362,230,132,31,UG,3
UGR3,2. rural,4.253164556962025,3.20253164556962,1.443037974683544,1.645569620253165,0,0,7.5949364,6.329114,1,1,0,0,7,5,3,3,336,362,230,132,79,UG,3
UGR3,,4.245454545454545,3.036363636363636,1.436363636363636,1.818181818181818,0,0,8.181818,4.5454545,1,1,0,0,7,5,3,4,467,362,230,132,110,UG,3
UGR4,1. urban,3.967741935483871,2.161290322580645,1.354838709677419,1.903225806451613,0,3.2258062,16.129032,0,2,0,0,1,7,4,2,4,123,350,224,126,31,UG,4
UGR4,2. rural,4.164556962025316,3.113924050632912,1.481012658227848,1.670886075949367,0,0,5.0632911,5.0632911,1,1,0,0,7,5,3,4,329,350,224,126,79,UG,4
UGR4,,4.109090909090909,2.845454545454545,1.445454545454546,1.736363636363636,0,.90909088,8.181818,3.6363635,1,0,0,0,7,5,3,4,452,350,224,126,110,UG,4
UGR5,1. urban,3.645161290322581,2.516129032258065,1.32258064516129,1.806451612903226,0,3.2258062,19.354837,9.6774187,1,0,0,0,7,4,2,4,113,335,219,116,31,UG,5
UGR5,2. rural,4.088607594936708,3.050632911392405,1.417721518987342,1.69620253164557,0,0,5.0632911,3.7974682,2,1,0,0,8,5,3,4,323,335,219,116,79,UG,5
UGR5,,3.963636363636364,2.9,1.390909090909091,1.727272727272727,0,.90909088,9.090909,5.4545455,1,0,0,0,8,5,3,4,436,335,219,116,110,UG,5
UGR6,1. urban,3.645161290322581,2.580645161290323,1.387096774193548,1.935483870967742,0,3.2258062,12.903225,0,1,0,0,1,7,4,2,5,113,342,216,126,31,UG,6
UGR6,2. rural,4.189873417721519,3,1.417721518987342,1.632911392405063,0,0,7.5949364,5.0632911,2,1,0,0,7,5,2,4,331,342,216,126,79,UG,6
UGR6,,4.036363636363636,2.881818181818182,1.409090909090909,1.718181818181818,0,.90909088,9.090909,3.6363635,1,0,0,0,7,5,2,5,444,342,216,126,110,UG,6
