xsurvey,essential5_offer,essential5_curav,essential5_noso,essential5_ready,essential5_rnoso,group,nSDP,year,month,cmc,country,countrycode,round
ETR6,51.412426,43.502827,28.531075,39.265537,25.706213,Excluding hospitals,354,2018,6,1422,Ethiopia,ET,6
INRajasthanR1,4.7619047,4.7619047,2.3809524,4.4217687,2.3809524,All,294,2016,7,1399,"India, Rajasthan",IN,1
INRajasthanR1,2.7237353,2.7237353,1.1673151,2.3346303,1.1673151,Excluding hospitals,257,2016,7,1399,"India, Rajasthan",IN,1
INRajasthanR2,3.1719532,3.0050085,2.1702838,2.8380635,2.0033388,All,599,2017,3,1407,"India, Rajasthan",IN,2
INRajasthanR2,2.1390374,1.9607844,1.2477719,1.7825311,1.0695187,Excluding hospitals,561,2017,3,1407,"India, Rajasthan",IN,2
INRajasthanR3,6.5108514,6.5108514,4.8414021,6.5108514,4.8414021,All,599,2017,9,1413,"India, Rajasthan",IN,3
INRajasthanR3,3.2200358,3.2200358,1.9677997,3.2200358,1.9677997,Excluding hospitals,559,2017,9,1413,"India, Rajasthan",IN,3
INRajasthanR4,11.348684,10.690789,8.8815784,10.690789,8.8815784,All,608,2018,6,1422,"India, Rajasthan",IN,4
INRajasthanR4,6.4912281,6.1403508,4.7368422,6.1403508,4.7368422,Excluding hospitals,570,2018,6,1422,"India, Rajasthan",IN,4
KER2,56.17284,48.456791,36.728394,35.493828,27.469135,All,324,2014,11,1379,Kenya,KE,2
KER2,47.727272,41.28788,31.060606,28.787878,21.969696,Excluding hospitals,264,2014,11,1379,Kenya,KE,2
KER3,60.057472,48.27586,40.517242,39.942532,33.908047,All,348,2015,6,1386,Kenya,KE,3
KER3,52.46479,41.197186,33.098591,32.394367,26.056337,Excluding hospitals,284,2015,6,1386,Kenya,KE,3
KER4,61.242603,51.775146,41.715977,46.745564,38.16568,All,338,2015,11,1391,Kenya,KE,4
KER4,54.744522,43.79562,33.211678,39.051094,29.927006,Excluding hospitals,274,2015,11,1391,Kenya,KE,4
KER5,62.92683,46.585365,33.170734,38.048779,29.024389,All,410,2016,11,1403,Kenya,KE,5
KER5,55.952381,39.880951,27.380953,31.547619,22.916668,Excluding hospitals,336,2016,11,1403,Kenya,KE,5
KER6,64.903847,39.182693,28.125,33.894234,25.961538,All,416,2018,0,1416,Kenya,KE,6
KER6,58.092487,32.369942,22.832371,27.745665,21.6763,Excluding hospitals,346,2018,0,1416,Kenya,KE,6
KER7,59.904533,44.391407,32.935558,38.902149,29.35561,All,419,2018,11,1427,Kenya,KE,7
KER7,53.581661,38.68195,28.080229,32.664757,24.355301,Excluding hospitals,349,2018,11,1427,Kenya,KE,7
NENiameyR1,51.6129,51.6129,32.258064,22.580645,12.903225,All,31,2015,7,1387,"Niger, Niamey",NE,1
NENiameyR1,53.571426,53.571426,35.714287,25,14.285715,Excluding hospitals,28,2015,7,1387,"Niger, Niamey",NE,1
NENiameyR2,48.484848,45.454548,39.39394,15.151516,12.121212,All,33,2016,3,1395,"Niger, Niamey",NE,2
NENiameyR2,50,46.666668,40,13.333334,10,Excluding hospitals,30,2016,3,1395,"Niger, Niamey",NE,2
NENiameyR3,51.851852,40.740742,25.925926,3.7037036,0,All,27,2016,11,1403,"Niger, Niamey",NE,3
NENiameyR3,53.846157,42.307693,26.923079,3.846154,0,Excluding hospitals,26,2016,11,1403,"Niger, Niamey",NE,3
NENiameyR4,59.375,56.25,40.625,15.625,9.375,All,32,2017,6,1410,"Niger, Niamey",NE,4
NENiameyR4,60.000004,56.666668,43.333332,13.333334,10,Excluding hospitals,30,2017,6,1410,"Niger, Niamey",NE,4
